date,triplet,head,relation,tail,sentence
2022-06-03,"{'head': 'Tesla, Inc.', 'relation': 'down by', 'tail': '8.06%'}","Tesla, Inc.",down by,8.06%,"Tesla, Inc. down by 8.06%"
2022-06-03,"{'head': 'Elon Musk', 'relation': 'has bad feeling', 'tail': 'about the economy'}",Elon Musk,has bad feeling,about the economy,Elon Musk has bad feeling about the economy
2022-06-03,"{'head': 'Tesla, Inc.', 'relation': 'headquartered in', 'tail': 'Austin, Texas'}","Tesla, Inc.",headquartered in,"Austin, Texas","Tesla, Inc. headquartered in Austin, Texas"
2022-06-04,"{'head': 'Tesla', 'relation': 'plans to increase', 'tail': 'total headcount over the next 12 months'}",Tesla,plans to increase,total headcount over the next 12 months,Tesla plans to increase total headcount over the next 12 months
2022-06-04,"{'head': 'Tesla', 'relation': 'has', 'tail': 'almost 100,000 employees at the end of 2021'}",Tesla,has,"almost 100,000 employees at the end of 2021","Tesla has almost 100,000 employees at the end of 2021"
2022-06-04,"{'head': 'Elon Musk', 'relation': 'expressed', 'tail': ""a 'super bad feeling' about the U.S. economy""}",Elon Musk,expressed,a 'super bad feeling' about the U.S. economy,Elon Musk expressed a 'super bad feeling' about the U.S. economy
2022-06-04,"{'head': 'Tesla', 'relation': 'plans to reduce', 'tail': 'salaried headcount by 10%'}",Tesla,plans to reduce,salaried headcount by 10%,Tesla plans to reduce salaried headcount by 10%
2022-06-04,"{'head': 'Tesla', 'relation': 'is', 'tail': 'overstaffed in many areas'}",Tesla,is,overstaffed in many areas,Tesla is overstaffed in many areas
2022-06-05,"{'head': 'Elon Musk', 'relation': 'plans to cut', 'tail': ""10% of Tesla's workforce""}",Elon Musk,plans to cut,10% of Tesla's workforce,Elon Musk plans to cut 10% of Tesla's workforce
2022-06-05,"{'head': ""Tesla's stock price"", 'relation': 'fell by', 'tail': '9.2% on Friday'}",Tesla's stock price,fell by,9.2% on Friday,Tesla's stock price fell by 9.2% on Friday
2022-06-05,"{'head': 'Tesla', 'relation': 'is the biggest detractor', 'tail': 'in the technology sector'}",Tesla,is the biggest detractor,in the technology sector,Tesla is the biggest detractor in the technology sector
2022-06-05,"{'head': ""OPEC's decision to increase output"", 'relation': 'may not be enough', 'tail': 'to meet rising demand'}",OPEC's decision to increase output,may not be enough,to meet rising demand,OPEC's decision to increase output may not be enough to meet rising demand
2022-06-05,"{'head': 'Apple', 'relation': 'was among the drags', 'tail': 'on the Nasdaq'}",Apple,was among the drags,on the Nasdaq,Apple was among the drags on the Nasdaq
2022-06-06,"{'head': 'Tesla', 'relation': 'is currently in', 'tail': 'a third wave'}",Tesla,is currently in,a third wave,Tesla is currently in a third wave
2022-06-06,"{'head': 'Tesla', 'relation': 'has found rejection', 'tail': 'above support of $708 at $792'}",Tesla,has found rejection,above support of $708 at $792,Tesla has found rejection above support of $708 at $792
2022-06-06,"{'head': 'Tesla', 'relation': 'will not exit', 'tail': 'this third wave structure to $176'}",Tesla,will not exit,this third wave structure to $176,Tesla will not exit this third wave structure to $176
2022-06-06,"{'head': 'Tesla', 'relation': 'will break', 'tail': 'above the high of $1242 before touching $176'}",Tesla,will break,above the high of $1242 before touching $176,Tesla will break above the high of $1242 before touching $176
2022-06-06,"{'head': 'Third wave', 'relation': 'may be', 'tail': 'complex'}",Third wave,may be,complex,Third wave may be complex
2022-06-07,error: news blocked,-,-,-,
2022-06-08,"{'head': 'Elon Musk', 'relation': 'threatened', 'tail': 'walk back from the deal'}",Elon Musk,threatened,walk back from the deal,Elon Musk threatened walk back from the deal
2022-06-08,"{'head': 'Twitter', 'relation': 'plans', 'tail': 'offer Elon Musk access to its “firehose” of raw data'}",Twitter,plans,offer Elon Musk access to its “firehose” of raw data,Twitter plans offer Elon Musk access to its “firehose” of raw data
2022-06-08,"{'head': 'Tesla', 'relation': 'rose', 'tail': '1.25%'}",Tesla,rose,1.25%,Tesla rose 1.25%
2022-06-08,"{'head': 'Trading volume', 'relation': 'remained', 'tail': '3.5 million below its 50-day average volume of 68.2 M'}",Trading volume,remained,3.5 million below its 50-day average volume of 68.2 M,Trading volume remained 3.5 million below its 50-day average volume of 68.2 M
2022-06-08,"{'head': 'Reports', 'relation': 'Twitter', 'tail': 'to provide Musk with raw daily tweet data'}",Reports,Twitter,to provide Musk with raw daily tweet data,Reports Twitter to provide Musk with raw daily tweet data
2022-06-09,"{'head': 'Tesla', 'relation': 'lost value', 'tail': '0.9%'}",Tesla,lost value,0.9%,Tesla lost value 0.9%
2022-06-09,"{'head': 'Tesla', 'relation': 'Autopilot probe', 'tail': '100 accidents'}",Tesla,Autopilot probe,100 accidents,Tesla Autopilot probe 100 accidents
2022-06-09,"{'head': 'Tesla', 'relation': 'stock performance', 'tail': 'underperformed competitors'}",Tesla,stock performance,underperformed competitors,Tesla stock performance underperformed competitors
2022-06-09,"{'head': 'Tesla', 'relation': 'stock price', 'tail': '$719.12'}",Tesla,stock price,$719.12,Tesla stock price $719.12
2022-06-09,"{'head': 'Elon Musk', 'relation': 'distraction', 'tail': 'Twitter takeover bid'}",Elon Musk,distraction,Twitter takeover bid,Elon Musk distraction Twitter takeover bid
2022-06-10,"{'head': 'Tesla', 'relation': 'plans to seek approval for', 'tail': 'three-for-one stock split'}",Tesla,plans to seek approval for,three-for-one stock split,Tesla plans to seek approval for three-for-one stock split
2022-06-10,"{'head': ""Tesla's stock split"", 'relation': 'follows', 'tail': 'stock splits by Amazon and Alphabet'}",Tesla's stock split,follows,stock splits by Amazon and Alphabet,Tesla's stock split follows stock splits by Amazon and Alphabet
2022-06-10,"{'head': 'Larry Ellison', 'relation': 'will not stand for re-election to', 'tail': ""Tesla's board of directors""}",Larry Ellison,will not stand for re-election to,Tesla's board of directors,Larry Ellison will not stand for re-election to Tesla's board of directors
2022-06-10,"{'head': 'Elon Musk', 'relation': 'pursues', 'tail': 'a takeover of Twitter'}",Elon Musk,pursues,a takeover of Twitter,Elon Musk pursues a takeover of Twitter
2022-06-10,"{'head': 'Larry Ellison', 'relation': 'owns', 'tail': 'a 1.5 per cent stake in Tesla'}",Larry Ellison,owns,a 1.5 per cent stake in Tesla,Larry Ellison owns a 1.5 per cent stake in Tesla
2022-06-11,"{'head': 'Tesla', 'relation': 'announces', 'tail': '10% workforce reduction'}",Tesla,announces,10% workforce reduction,Tesla announces 10% workforce reduction
2022-06-11,"{'head': ""Tesla's stock"", 'relation': 'closed at', 'tail': '$696.69'}",Tesla's stock,closed at,$696.69,Tesla's stock closed at $696.69
2022-06-11,"{'head': ""Tesla's stock"", 'relation': 'rose', 'tail': '1.91% in after-hours trading'}",Tesla's stock,rose,1.91% in after-hours trading,Tesla's stock rose 1.91% in after-hours trading
2022-06-11,"{'head': 'Elon Musk', 'relation': 'blames', 'tail': 'crazy damages'}",Elon Musk,blames,crazy damages,Elon Musk blames crazy damages
2022-06-11,"{'head': 'Crazy damages', 'relation': 'leads to', 'tail': 'high car insurance costs'}",Crazy damages,leads to,high car insurance costs,Crazy damages leads to high car insurance costs
2022-06-12,"{'head': 'Larry Ellison', 'relation': 'steps down from', 'tail': 'Tesla Board of Directors'}",Larry Ellison,steps down from,Tesla Board of Directors,Larry Ellison steps down from Tesla Board of Directors
2022-06-12,"{'head': 'Larry Ellison', 'relation': 'is the largest individual shareholder of', 'tail': 'Tesla'}",Larry Ellison,is the largest individual shareholder of,Tesla,Larry Ellison is the largest individual shareholder of Tesla
2022-06-12,"{'head': 'Larry Ellison', 'relation': 'has a 1.5% stake in', 'tail': 'Tesla'}",Larry Ellison,has a 1.5% stake in,Tesla,Larry Ellison has a 1.5% stake in Tesla
2022-06-12,"{'head': 'Larry Ellison', 'relation': 'joined the Board of Directors of', 'tail': 'Tesla'}",Larry Ellison,joined the Board of Directors of,Tesla,Larry Ellison joined the Board of Directors of Tesla
2022-06-12,"{'head': 'Kimbal Musk', 'relation': 'owns 683,490 shares of', 'tail': 'Tesla'}",Kimbal Musk,"owns 683,490 shares of",Tesla,"Kimbal Musk owns 683,490 shares of Tesla"
2022-06-13,"{'head': 'SpaceX', 'relation': 'sold equity', 'tail': '$1.68 billion'}",SpaceX,sold equity,$1.68 billion,SpaceX sold equity $1.68 billion
2022-06-13,"{'head': 'Tesla', 'relation': 'lost', 'tail': '5 per cent share price'}",Tesla,lost,5 per cent share price,Tesla lost 5 per cent share price
2022-06-13,"{'head': 'Tesla', 'relation': 'fell', 'tail': 'more than 7%'}",Tesla,fell,more than 7%,Tesla fell more than 7%
2022-06-13,"{'head': 'Nvidia', 'relation': 'fell', 'tail': 'more than 7%'}",Nvidia,fell,more than 7%,Nvidia fell more than 7%
2022-06-13,"{'head': 'Netflix', 'relation': 'fell', 'tail': 'more than 7%'}",Netflix,fell,more than 7%,Netflix fell more than 7%
2022-06-14,"{'head': 'Tesla, Inc.', 'relation': 'has factory in', 'tail': 'Fremont'}","Tesla, Inc.",has factory in,Fremont,"Tesla, Inc. has factory in Fremont"
2022-06-14,"{'head': 'Technology companies', 'relation': 'lifted slightly', 'tail': 'Tesla Inc (NASDAQ: ) up 2.4%'}",Technology companies,lifted slightly,Tesla Inc (NASDAQ: ) up 2.4%,Technology companies lifted slightly Tesla Inc (NASDAQ: ) up 2.4%
2022-06-14,"{'head': 'Shanghai re-opening', 'relation': 'sets up for', 'tail': 'strong H2/22 recovery'}",Shanghai re-opening,sets up for,strong H2/22 recovery,Shanghai re-opening sets up for strong H2/22 recovery
2022-06-14,"{'head': 'Shanghai re-opening and government stimulus', 'relation': 'could benefit', 'tail': 'Tesla, Inc. (NASDAQ: )'}",Shanghai re-opening and government stimulus,could benefit,"Tesla, Inc. (NASDAQ: )","Shanghai re-opening and government stimulus could benefit Tesla, Inc. (NASDAQ: )"
2022-06-14,"{'head': 'Berlin', 'relation': 'ramping to', 'tail': 'approximately 1000/week of model-Ys'}",Berlin,ramping to,approximately 1000/week of model-Ys,Berlin ramping to approximately 1000/week of model-Ys
2022-06-15,"{'head': 'Elon Musk', 'relation': 'backed away from', 'tail': 'plan to rely on margin loans backed by his Tesla shares'}",Elon Musk,backed away from,plan to rely on margin loans backed by his Tesla shares,Elon Musk backed away from plan to rely on margin loans backed by his Tesla shares
2022-06-15,"{'head': 'Elon Musk', 'relation': 'increased', 'tail': 'equity he is putting into the deal'}",Elon Musk,increased,equity he is putting into the deal,Elon Musk increased equity he is putting into the deal
2022-06-15,"{'head': 'Elon Musk', 'relation': 'reiterated', 'tail': 'interest in owning Twitter'}",Elon Musk,reiterated,interest in owning Twitter,Elon Musk reiterated interest in owning Twitter
2022-06-15,"{'head': 'Elon Musk', 'relation': 'told employees', 'tail': 'to spend 40 hours a week in the office'}",Elon Musk,told employees,to spend 40 hours a week in the office,Elon Musk told employees to spend 40 hours a week in the office
2022-06-15,"{'head': 'Elon Musk', 'relation': 'suggested', 'tail': ""those who don't find a job elsewhere""}",Elon Musk,suggested,those who don't find a job elsewhere,Elon Musk suggested those who don't find a job elsewhere
2022-06-16,"{'head': 'Dogecoin investor', 'relation': 'accuses', 'tail': 'Tesla, SpaceX of operating pyramid scheme to inflate Dogecoin price'}",Dogecoin investor,accuses,"Tesla, SpaceX of operating pyramid scheme to inflate Dogecoin price","Dogecoin investor accuses Tesla, SpaceX of operating pyramid scheme to inflate Dogecoin price"
2022-06-16,"{'head': 'Dogecoin investor', 'relation': 'sues', 'tail': 'Elon Musk, Tesla, SpaceX for $258 billion'}",Dogecoin investor,sues,"Elon Musk, Tesla, SpaceX for $258 billion","Dogecoin investor sues Elon Musk, Tesla, SpaceX for $258 billion"
2022-06-16,"{'head': 'Tesla', 'relation': 'affected by', 'tail': 'tech stock selloff'}",Tesla,affected by,tech stock selloff,Tesla affected by tech stock selloff
2022-06-16,"{'head': 'Tech stocks', 'relation': 'declined', 'tail': 'Tesla down 8.5%, Apple down 4%'}",Tech stocks,declined,"Tesla down 8.5%, Apple down 4%","Tech stocks declined Tesla down 8.5%, Apple down 4%"
2022-06-16,"{'head': 'French CAC index', 'relation': 'entered', 'tail': 'bear territory'}",French CAC index,entered,bear territory,French CAC index entered bear territory
2022-06-17,"{'head': 'Keith Johnson', 'relation': 'sued', 'tail': 'Elon Musk'}",Keith Johnson,sued,Elon Musk,Keith Johnson sued Elon Musk
2022-06-17,"{'head': 'Elon Musk', 'relation': 'accused of', 'tail': 'running a pyramid scheme via dogecoin'}",Elon Musk,accused of,running a pyramid scheme via dogecoin,Elon Musk accused of running a pyramid scheme via dogecoin
2022-06-17,"{'head': 'Dogecoin', 'relation': 'falsely claimed', 'tail': 'to be a legitimate investment'}",Dogecoin,falsely claimed,to be a legitimate investment,Dogecoin falsely claimed to be a legitimate investment
2022-06-17,"{'head': 'Tesla', 'relation': 'involved in', 'tail': 'promoting and supporting dogecoin'}",Tesla,involved in,promoting and supporting dogecoin,Tesla involved in promoting and supporting dogecoin
2022-06-17,"{'head': 'Keith Johnson', 'relation': 'lost', 'tail': '$86 billion'}",Keith Johnson,lost,$86 billion,Keith Johnson lost $86 billion
2022-06-18,"{'head': 'Tesla', 'relation': 'uses', 'tail': 'Tesla Vision'}",Tesla,uses,Tesla Vision,Tesla uses Tesla Vision
2022-06-18,"{'head': 'Elon Musk', 'relation': 'criticizes', 'tail': 'LiDAR technology'}",Elon Musk,criticizes,LiDAR technology,Elon Musk criticizes LiDAR technology
2022-06-18,"{'head': 'Elon Musk', 'relation': 'questions', 'tail': ""Bill Gates' environmental credentials""}",Elon Musk,questions,Bill Gates' environmental credentials,Elon Musk questions Bill Gates' environmental credentials
2022-06-18,"{'head': 'Bill Gates', 'relation': 'shorted', 'tail': 'Tesla'}",Bill Gates,shorted,Tesla,Bill Gates shorted Tesla
2022-06-18,"{'head': 'Elon Musk', 'relation': 'competes with', 'tail': 'Jeff Bezos'}",Elon Musk,competes with,Jeff Bezos,Elon Musk competes with Jeff Bezos
2022-06-19,"{'head': 'Tesla Model Y', 'relation': 'has flood-wading capabilities', 'tail': 'as shown in a video shared on Twitter'}",Tesla Model Y,has flood-wading capabilities,as shown in a video shared on Twitter,Tesla Model Y has flood-wading capabilities as shown in a video shared on Twitter
2022-06-19,"{'head': 'Elon Musk', 'relation': 'approves of', 'tail': ""Tesla's flood-wading capabilities""}",Elon Musk,approves of,Tesla's flood-wading capabilities,Elon Musk approves of Tesla's flood-wading capabilities
2022-06-19,"{'head': ""Tesla's flood-wading capabilities"", 'relation': 'have been shown', 'tail': 'in a series of videos'}",Tesla's flood-wading capabilities,have been shown,in a series of videos,Tesla's flood-wading capabilities have been shown in a series of videos
2022-06-19,"{'head': ""Tesla's stock price"", 'relation': 'is affected by', 'tail': 'a variety of factors'}",Tesla's stock price,is affected by,a variety of factors,Tesla's stock price is affected by a variety of factors
2022-06-19,"{'head': ""Tesla's stock price"", 'relation': 'could be positively impacted by', 'tail': ""Tesla's flood-wading capabilities""}",Tesla's stock price,could be positively impacted by,Tesla's flood-wading capabilities,Tesla's stock price could be positively impacted by Tesla's flood-wading capabilities
2022-06-20,"{'head': 'Tesla', 'relation': 'has been sued by former employees', 'tail': 'for conducting unlawful mass layoffs'}",Tesla,has been sued by former employees,for conducting unlawful mass layoffs,Tesla has been sued by former employees for conducting unlawful mass layoffs
2022-06-20,"{'head': 'Elon Musk', 'relation': 'has concerns about economic downturn', 'tail': 'leading to job cuts at Tesla'}",Elon Musk,has concerns about economic downturn,leading to job cuts at Tesla,Elon Musk has concerns about economic downturn leading to job cuts at Tesla
2022-06-20,"{'head': 'Tesla', 'relation': 'requires advance notice for layoffs', 'tail': 'according to federal law'}",Tesla,requires advance notice for layoffs,according to federal law,Tesla requires advance notice for layoffs according to federal law
2022-06-20,"{'head': ""Elon Musk's child"", 'relation': 'petitioned for a name change', 'tail': 'citing estrangement from Tesla CEO'}",Elon Musk's child,petitioned for a name change,citing estrangement from Tesla CEO,Elon Musk's child petitioned for a name change citing estrangement from Tesla CEO
2022-06-20,"{'head': 'Tesla', 'relation': 'has not publicly commented on', 'tail': 'the number of recent layoffs'}",Tesla,has not publicly commented on,the number of recent layoffs,Tesla has not publicly commented on the number of recent layoffs
2022-06-21,"{'head': 'Elon Musk', 'relation': 'conducting', 'tail': 'layoffs at Tesla'}",Elon Musk,conducting,layoffs at Tesla,Elon Musk conducting layoffs at Tesla
2022-06-21,"{'head': 'Tesla', 'relation': 'experiencing', 'tail': 'high demand for cars'}",Tesla,experiencing,high demand for cars,Tesla experiencing high demand for cars
2022-06-21,"{'head': 'Salaried staff at Tesla', 'relation': 'witnessing', 'tail': 'reductions'}",Salaried staff at Tesla,witnessing,reductions,Salaried staff at Tesla witnessing reductions
2022-06-21,"{'head': 'Tesla', 'relation': 'intending', 'tail': 'to cut costs'}",Tesla,intending,to cut costs,Tesla intending to cut costs
2022-06-21,"{'head': 'Tesla Share Price', 'relation': 'influenced by', 'tail': 'layoffs announcement'}",Tesla Share Price,influenced by,layoffs announcement,Tesla Share Price influenced by layoffs announcement
2022-06-22,"{'head': 'Tesla Cybertruck', 'relation': 'production start date', 'tail': 'mid-2023'}",Tesla Cybertruck,production start date,mid-2023,Tesla Cybertruck production start date mid-2023
2022-06-22,"{'head': 'Cybertruck', 'relation': 'competition', 'tail': 'Ford Motor Company F and Rivian Automotive Inc RIVN'}",Cybertruck,competition,Ford Motor Company F and Rivian Automotive Inc RIVN,Cybertruck competition Ford Motor Company F and Rivian Automotive Inc RIVN
2022-06-22,"{'head': 'Tesla Cybertruck', 'relation': 'production delay reason', 'tail': 'supply chain issues'}",Tesla Cybertruck,production delay reason,supply chain issues,Tesla Cybertruck production delay reason supply chain issues
2022-06-22,"{'head': 'Elon Musk', 'relation': 'concern', 'tail': 'Cybertruck design may result in flop'}",Elon Musk,concern,Cybertruck design may result in flop,Elon Musk concern Cybertruck design may result in flop
2022-06-22,"{'head': 'Cybertruck production', 'relation': 'impact on Tesla', 'tail': 'diversion of resources from other projects'}",Cybertruck production,impact on Tesla,diversion of resources from other projects,Cybertruck production impact on Tesla diversion of resources from other projects
2022-06-23,"{'head': 'Tesla, Inc.', 'relation': 'is suffering', 'tail': 'ongoing crypto crash'}","Tesla, Inc.",is suffering,ongoing crypto crash,"Tesla, Inc. is suffering ongoing crypto crash"
2022-06-23,"{'head': 'Tesla, Inc.', 'relation': 'is feeling the reverberations of', 'tail': 'crash of digital currencies in 2022'}","Tesla, Inc.",is feeling the reverberations of,crash of digital currencies in 2022,"Tesla, Inc. is feeling the reverberations of crash of digital currencies in 2022"
2022-06-23,"{'head': 'Tesla, Inc.', 'relation': 'accepts', 'tail': 'Dogecoin payments in its official merchandise store'}","Tesla, Inc.",accepts,Dogecoin payments in its official merchandise store,"Tesla, Inc. accepts Dogecoin payments in its official merchandise store"
2022-06-23,"{'head': 'Tesla, Inc.', 'relation': 'will replace', 'tail': 'Meta as the fifth-largest U.S. component in the Russell indexes'}","Tesla, Inc.",will replace,Meta as the fifth-largest U.S. component in the Russell indexes,"Tesla, Inc. will replace Meta as the fifth-largest U.S. component in the Russell indexes"
2022-06-23,"{'head': ""Tesla's stock"", 'relation': 'sinks', 'tail': 'as market gains'}",Tesla's stock,sinks,as market gains,Tesla's stock sinks as market gains
2022-06-24,"{'head': 'Tesla', 'relation': 'is facing', 'tail': 'increased competition in the EV market'}",Tesla,is facing,increased competition in the EV market,Tesla is facing increased competition in the EV market
2022-06-24,"{'head': 'EV market', 'relation': 'is expected to', 'tail': 'grow at a rapid pace in the coming years'}",EV market,is expected to,grow at a rapid pace in the coming years,EV market is expected to grow at a rapid pace in the coming years
2022-06-24,"{'head': 'Tesla', 'relation': 'has', 'tail': 'a strong presence in the minds of investors'}",Tesla,has,a strong presence in the minds of investors,Tesla has a strong presence in the minds of investors
2022-06-24,"{'head': 'Polestar 2', 'relation': 'underperforms', 'tail': 'the Tesla Model 3 in battery efficiency'}",Polestar 2,underperforms,the Tesla Model 3 in battery efficiency,Polestar 2 underperforms the Tesla Model 3 in battery efficiency
2022-06-24,"{'head': 'Polestar 2', 'relation': 'offers', 'tail': 'better handling than the Tesla Model 3'}",Polestar 2,offers,better handling than the Tesla Model 3,Polestar 2 offers better handling than the Tesla Model 3
2022-06-25,"{'head': 'Tesla', 'relation': 'has a policy of covering travel and lodging costs', 'tail': 'for employees needing healthcare services outside their states'}",Tesla,has a policy of covering travel and lodging costs,for employees needing healthcare services outside their states,Tesla has a policy of covering travel and lodging costs for employees needing healthcare services outside their states
2022-06-25,"{'head': 'Elon Musk', 'relation': 'made his political leanings known', 'tail': 'by suggesting he voted for Republicans for the first time'}",Elon Musk,made his political leanings known,by suggesting he voted for Republicans for the first time,Elon Musk made his political leanings known by suggesting he voted for Republicans for the first time
2022-06-25,"{'head': 'Elon Musk', 'relation': 'forecast', 'tail': 'a red wave in the 2022 midterm elections'}",Elon Musk,forecast,a red wave in the 2022 midterm elections,Elon Musk forecast a red wave in the 2022 midterm elections
2022-06-25,"{'head': 'Tim Draper', 'relation': 'made hundreds of VC investments', 'tail': 'in companies including Tesla'}",Tim Draper,made hundreds of VC investments,in companies including Tesla,Tim Draper made hundreds of VC investments in companies including Tesla
2022-06-25,"{'head': 'Tesla', 'relation': 'moved a majority of their workforce', 'tail': 'to Texas'}",Tesla,moved a majority of their workforce,to Texas,Tesla moved a majority of their workforce to Texas
2022-06-26,"{'head': 'Tesla', 'relation': 'has a P/E ratio of', 'tail': '137'}",Tesla,has a P/E ratio of,137,Tesla has a P/E ratio of 137
2022-06-26,"{'head': 'S&P 500', 'relation': 'has an average P/E ratio of', 'tail': '33.3'}",S&P 500,has an average P/E ratio of,33.3,S&P 500 has an average P/E ratio of 33.3
2022-06-26,"{'head': 'Elon Musk', 'relation': 'has been quiet on Twitter since', 'tail': 'June 21'}",Elon Musk,has been quiet on Twitter since,June 21,Elon Musk has been quiet on Twitter since June 21
2022-06-26,"{'head': 'Tesla', 'relation': 'is ranked', 'tail': '7th in the S&P 500'}",Tesla,is ranked,7th in the S&P 500,Tesla is ranked 7th in the S&P 500
2022-06-26,"{'head': 'Elon Musk', 'relation': 'was fined', 'tail': '$20 million by the SEC in 2018'}",Elon Musk,was fined,$20 million by the SEC in 2018,Elon Musk was fined $20 million by the SEC in 2018
2022-06-27,"{'head': 'Elon Musk', 'relation': 'has more Twitter followers than', 'tail': 'Bill Gates'}",Elon Musk,has more Twitter followers than,Bill Gates,Elon Musk has more Twitter followers than Bill Gates
2022-06-27,"{'head': 'Bill Gates', 'relation': 'has been accused by Elon Musk of', 'tail': 'shorting Tesla shares'}",Bill Gates,has been accused by Elon Musk of,shorting Tesla shares,Bill Gates has been accused by Elon Musk of shorting Tesla shares
2022-06-27,"{'head': ""Tesla's stock"", 'relation': 'demonstrated a', 'tail': 'mixed performance compared to competitors'}",Tesla's stock,demonstrated a,mixed performance compared to competitors,Tesla's stock demonstrated a mixed performance compared to competitors
2022-06-27,"{'head': 'Elon Musk', 'relation': 'often tweets about', 'tail': 'Dogecoin and other cryptocurrencies'}",Elon Musk,often tweets about,Dogecoin and other cryptocurrencies,Elon Musk often tweets about Dogecoin and other cryptocurrencies
2022-06-27,"{'head': 'Elon Musk', 'relation': 'joined Twitter in', 'tail': 'June 2009'}",Elon Musk,joined Twitter in,June 2009,Elon Musk joined Twitter in June 2009
2022-06-28,"{'head': 'Tesla Inc.', 'relation': 'laid off', 'tail': 'hundreds of people in its Autopilot unit'}",Tesla Inc.,laid off,hundreds of people in its Autopilot unit,Tesla Inc. laid off hundreds of people in its Autopilot unit
2022-06-28,"{'head': 'Tesla Inc', 'relation': 'rescinded job offers', 'tail': 'new hires'}",Tesla Inc,rescinded job offers,new hires,Tesla Inc rescinded job offers new hires
2022-06-28,"{'head': 'Tesla TSLA', 'relation': 'laid off', 'tail': '200 employees'}",Tesla TSLA,laid off,200 employees,Tesla TSLA laid off 200 employees
2022-06-28,"{'head': 'Tesla Inc.', 'relation': 'withdrew job offers', 'tail': 'new hires'}",Tesla Inc.,withdrew job offers,new hires,Tesla Inc. withdrew job offers new hires
2022-06-28,"{'head': 'Tesla Inc.', 'relation': 'did not reply', 'tail': 'MarketWatch’s request for confirmation or comment'}",Tesla Inc.,did not reply,MarketWatch’s request for confirmation or comment,Tesla Inc. did not reply MarketWatch’s request for confirmation or comment
2022-06-30,"{'head': 'Tesla', 'relation': 'has CEO', 'tail': 'Elon Musk'}",Tesla,has CEO,Elon Musk,Tesla has CEO Elon Musk
2022-06-30,"{'head': 'Elon Musk', 'relation': 'expressed concern about', 'tail': '""Is TikTok destroying civilization?"" tweet'}",Elon Musk,expressed concern about,"""Is TikTok destroying civilization?"" tweet","Elon Musk expressed concern about ""Is TikTok destroying civilization?"" tweet"
2022-06-30,"{'head': 'TikTok', 'relation': 'controversy with FCC', 'tail': 'social media uproar'}",TikTok,controversy with FCC,social media uproar,TikTok controversy with FCC social media uproar
2022-06-30,"{'head': 'Siemens Energy AG', 'relation': 'provides', 'tail': 'energy solutions'}",Siemens Energy AG,provides,energy solutions,Siemens Energy AG provides energy solutions
2022-06-30,"{'head': 'Toshiba Corp., Ltd.', 'relation': 'focuses on', 'tail': 'energy solutions and infrastructure'}","Toshiba Corp., Ltd.",focuses on,energy solutions and infrastructure,"Toshiba Corp., Ltd. focuses on energy solutions and infrastructure"
2022-07-01,error: news blocked,-,-,-,
2022-07-02,"{'head': 'Mizuho', 'relation': 'lowered price target', 'tail': 'Tesla Inc (NASDAQ:TSLA)'}",Mizuho,lowered price target,Tesla Inc (NASDAQ:TSLA),Mizuho lowered price target Tesla Inc (NASDAQ:TSLA)
2022-07-02,"{'head': 'Tesla', 'relation': 'delivered 17.9% fewer electric vehicles', 'tail': 'second quarter'}",Tesla,delivered 17.9% fewer electric vehicles,second quarter,Tesla delivered 17.9% fewer electric vehicles second quarter
2022-07-02,"{'head': ""China's COVID 19-related shutdown"", 'relation': 'disrupted', 'tail': ""Tesla's production and supply chain""}",China's COVID 19-related shutdown,disrupted,Tesla's production and supply chain,China's COVID 19-related shutdown disrupted Tesla's production and supply chain
2022-07-02,"{'head': 'Tesla', 'relation': 'ramping up production', 'tail': 'Shanghai factory'}",Tesla,ramping up production,Shanghai factory,Tesla ramping up production Shanghai factory
2022-07-02,"{'head': 'Easing of the COVID-19 lockdown', 'relation': 'will help boost deliveries', 'tail': 'second'}",Easing of the COVID-19 lockdown,will help boost deliveries,second,Easing of the COVID-19 lockdown will help boost deliveries second
2022-07-03,"{'head': 'Tesla', 'relation': 'lost momentum', 'tail': 'DeSantis'}",Tesla,lost momentum,DeSantis,Tesla lost momentum DeSantis
2022-07-03,"{'head': ""Elon Musk's"", 'relation': 'characterization', 'tail': 'money furnace'}",Elon Musk's,characterization,money furnace,Elon Musk's characterization money furnace
2022-07-03,"{'head': ""Tesla's manufacturing facilities"", 'relation': 'financial burden', 'tail': 'impact on cash flow'}",Tesla's manufacturing facilities,financial burden,impact on cash flow,Tesla's manufacturing facilities financial burden impact on cash flow
2022-07-03,"{'head': ""Tesla's"", 'relation': 'decreasing deliveries', 'tail': 'stock price movement'}",Tesla's,decreasing deliveries,stock price movement,Tesla's decreasing deliveries stock price movement
2022-07-03,"{'head': 'Second quarter', 'relation': 'declining free cash flow', 'tail': ""Wall Street's expectations""}",Second quarter,declining free cash flow,Wall Street's expectations,Second quarter declining free cash flow Wall Street's expectations
2022-07-04,"{'head': 'Tesla Inc.', 'relation': 'had', 'tail': 'its worst quarter ever in the three months through June'}",Tesla Inc.,had,its worst quarter ever in the three months through June,Tesla Inc. had its worst quarter ever in the three months through June
2022-07-04,"{'head': 'Tesla Inc.', 'relation': 'included', 'tail': ""in Stepstone's liquidated shareholdings""}",Tesla Inc.,included,in Stepstone's liquidated shareholdings,Tesla Inc. included in Stepstone's liquidated shareholdings
